CODI_ESTACIO,DATA_LECTURA,TM,TX,TN,HRM,PPT24H,HPA,RS24H,VVM10,DVM10,VVX10,DVX10
X4,01/11/2006,19.8,24.1,17.7,72,0,1011.7,8.5,,319,7.1,353
X4,02/11/2006,16.8,19.6,14.5,52,0,1015.8,6.5,,75,7.3,75
X4,03/11/2006,14.5,18.1,12.1,44,0,1018.5,9.5,,56,7.4,80
X4,04/11/2006,15.1,18.5,11.8,54,0,1023.1,6.7,,50,7.3,99
X4,05/11/2006,16.9,21.2,13.9,56,0,1024,5.9,,53,3.9,110
X4,06/11/2006,16.2,22.1,11.3,61,0,1021.5,11.7,,259,6.3,333
X4,07/11/2006,16.9,21.3,13.6,70,0,1019.9,6.8,,80,5.8,149
X4,08/11/2006,18.5,23,15.6,71,0,1021.7,9,,47,5.8,83
X4,09/11/2006,17.9,21.6,14.8,78,0,1023.8,9.9,,138,4.9,267
X4,10/11/2006,17.9,22,14.1,73,0,1024.1,9.7,,110,5,172
X4,11/11/2006,17.8,20.6,14.9,71,0,1024.1,4.2,,274,6.3,312
X4,12/11/2006,17,21.1,14.8,66,0,1018.3,6.1,,316,5.4,300
X4,13/11/2006,16,21.1,12.8,62,0,1015.8,9.8,,281,8,312
X4,14/11/2006,16.8,21.9,12.4,60,0,1015.2,10.1,,251,7.3,249
X4,15/11/2006,17.1,21.9,13.5,73,0,1014.1,8.9,,125,4.4,147
X4,16/11/2006,17.8,21.5,14.5,78,0,1009,6.6,,200,6.2,249
X4,17/11/2006,16.2,18.1,13.3,67,0.9,1009.8,2.8,,274,8.6,313
X4,18/11/2006,16.2,21.5,12.6,50,0,1016,9.5,,267,7.3,271
X4,19/11/2006,17.7,23,13.8,53,0,1018.8,10,,263,7.1,294
X4,20/11/2006,16.4,19.9,13.9,73,0,1017.4,8.3,,97,5.4,222
X4,21/11/2006,16.4,20,12.5,56,0,1008.2,5.2,,295,17.7,310
X4,22/11/2006,16.5,19.6,14.5,63,0,1003.2,8.5,,340,13.4,325
X4,23/11/2006,18.4,23.1,14.7,55,0,1002.5,9,,290,11.8,283
X4,24/11/2006,17.7,20.4,14.7,68,0,1003.8,7.4,,237,8.6,227
X4,25/11/2006,18.1,20.1,16.5,81,0,1007.3,3.2,,225,8.7,266
X4,26/11/2006,17.4,20.4,14.8,75,0,1013.8,6.1,,52,4.6,76
X4,27/11/2006,17,20.6,14.3,56,0,1018.8,8.5,,262,8.2,308
X4,28/11/2006,15.6,18.4,12.5,59,0,1018.5,4.3,,271,4.9,286
X4,29/11/2006,15.9,19.9,13.1,55,0,1024,6,,312,4.8,316
X4,30/11/2006,14,18,11,62,0,1026,8.3,,268,4.9,352
